elapsed_s,ours_cut_pattern_types,ours_demand_length,ours_status,ours_used_length,ours_util_rate,ours_verified,ours_weld_pattern_types,ours_welding_joints,problem_no,spec,sw_cut_pattern_types,sw_demand_length,sw_used_length,sw_util_rate,sw_weld_joints_recomputed,sw_weld_pattern_types,sw_welding_joints
10.78,11,818976,RCG_FEASIBLE,826000,0.991496368038741,True,8,55,SubProblem12,SA-213TP310HCbN/45x7,9,818976.0,826000.0,0.991496384,136,3,136.0
0.05,4,22306,RCG_FEASIBLE,24350,0.9160574948665298,True,1,0,SubProblem0,SA-213T92/54x8.5,4,22306.0,24350.0,0.916057467,0,1,0.0
12.19,15,447488,RCG_FEASIBLE,453000,0.9878322295805739,True,12,47,SubProblem1,SA-213TP310HCbN/54x12,7,447488.0,450150.0,0.994086444,48,3,48.0
7.53,11,312702,RCG_FEASIBLE,316000,0.9895632911392405,False,9,24,SubProblem2,SA-213TP310HCbN/54x13,4,312702.0,317150.0,0.985975087,76,1,76.0
0.03,1,7600,RCG_FEASIBLE,8500,0.8941176470588236,True,1,0,SubProblem3,SA-213TP310HCbN/54x14,1,7638.0,8500.0,0.89858824,0,1,0.0
0.75,0,99142,UNSOLVED,0,0.0,True,0,0,SubProblem6,SA-213T92/54x14,10,99142.0,100350.0,0.987962127,20,3,20.0
6.11,15,1485952,RCG_TARGET_REACHED,1487000,0.9992952252858104,True,11,160,SubProblem7,SA-213TP310HCbN/45x10.5,7,1485952.0,1497000.0,0.992619932,136,4,136.0
9.47,11,818976,RCG_FEASIBLE,826000,0.991496368038741,True,8,55,SubProblem8,SA-213TP310HCbN/45x7,4,818976.0,826000.0,0.991496384,152,1,152.0
7.0,3,230920,OPTIMAL_LEXICOGRAPHIC,239000,0.9661924686192469,True,2,12,SubProblem4,SA-213TP310HCbN/51x8.5,8,230966.0,239000.0,0.966384947,35,3,35.0
51.16,14,226016,TIMELIMIT_INCOMPLETE_REPEATED_PATTERN_PREFERENCE,299400,0.7548964595858384,True,12,24,SubProblem0,12Cr1MoVG/57x8.5,3,226016.0,226600.0,0.997422755,20,10,20.0
0.05,2,71576,RCG_FEASIBLE,73800,0.9698644986449865,True,1,0,SubProblem1,SA-213T92/51x14,2,71576.0,73800.0,0.969864488,0,1,0.0
13.94,0,1046800,UNSOLVED,0,0.0,True,0,0,SubProblem0,SA-213T91Type1/38.1x6,8,1046800.0,1055100.0,0.992133439,126,4,126.0
19.67,18,883116,RCG_TARGET_REACHED,887000,0.9956211950394589,True,12,92,SubProblem4,SA-213TP310HCbN/45x12,7,883116.0,887000.0,0.995621204,68,4,68.0
33.36,12,1046800,TIMELIMIT_INCOMPLETE_WELDING_PATTERN_TYPE_QUANTITY,1055100,0.9921334470666288,True,7,106,SubProblem0,SA-213T91Type1/38.1x6,9,1046800.0,1055100.0,0.992133439,74,5,74.0
0.05,4,22306,RCG_FEASIBLE,24350,0.9160574948665298,True,1,0,SubProblem0,SA-213T92/54x8.5,4,22306.0,24350.0,0.916057467,0,1,0.0
0.73,0,98496,UNSOLVED,0,0.0,True,0,0,SubProblem6,SA-213T92/54x14,10,98496.0,100350.0,0.981524646,35,2,35.0
11.72,21,525200,RCG_TARGET_REACHED,528500,0.993755912961211,True,17,38,SubProblem5,SA-213TP310HCbN/45x9,5,525200.0,528500.0,0.993755937,42,4,42.0
0.0,0,1100700,UNSOLVED,0,0.0,True,0,0,SubProblem0,SA-213T91Type1/38.1x6,0,,,,0,0,
0.03,1,29224,RCG_FEASIBLE,29900,0.9773913043478261,True,1,0,SubProblem6,SA-213T92/51x13,1,29224.0,29900.0,0.977391303,0,1,0.0
8.58,0,1046800,UNSOLVED,0,0.0,True,0,0,SubProblem0,SA-213T91Type1/38.1x6,10,1046800.0,1055100.0,0.992133439,100,3,100.0
1.5,0,450086,UNSOLVED,0,0.0,True,0,0,SubProblem7,SA-213TP310HCbN/51x13,5,450086.0,452650.0,0.994335592,39,2,39.0
0.0,0,4067196,UNSOLVED,0,0.0,True,0,0,SubProblem3,SA-213S30432/38.1x7,0,,,,0,0,
29.34,39,4067196,RCG_TARGET_REACHED,4084240,0.9958268857853603,True,19,524,SubProblem3,SA-213S30432/38.1x7,19,4067196.0,4084240.0,0.9958269,343,6,32753.0
0.41,0,185220,UNSOLVED,0,0.0,True,0,0,SubProblem5,SA-213T92/45x12.5,7,185220.0,188000.0,0.985212743,18,3,18.0
10.5,0,1046800,UNSOLVED,0,0.0,True,0,0,SubProblem0,SA-213T91Type1/38.1x6,8,1046800.0,1055100.0,0.992133439,126,4,126.0
7.36,1,188460,RCG_FEASIBLE,10000000,0.018846,True,1,0,SubProblem2,SA-213T91Type1/57x4,1,188460.0,10000000.0,0.0188459996,0,1,0.0
0.39,0,185220,UNSOLVED,0,0.0,True,0,0,SubProblem5,SA-213T92/45x12.5,7,185220.0,188000.0,0.985212743,6,3,6.0
11.61,0,1046800,UNSOLVED,0,0.0,True,0,0,SubProblem0,SA-213T91Type1/38.1x6,8,1046800.0,1055100.0,0.992133439,126,4,126.0
48.88,20,226138,TIMELIMIT_INCOMPLETE_CUTTING_PATTERN_TYPE_QUANTITY,299400,0.7553039412157648,True,12,24,SubProblem0,12Cr1MoVG/57x8.5,3,226138.0,226600.0,0.997961164,20,20,20.0
12.86,0,1046800,UNSOLVED,0,0.0,True,0,0,SubProblem0,SA-213T91Type1/38.1x6,8,1046800.0,1055100.0,0.992133439,126,4,126.0
0.45,0,185220,UNSOLVED,0,0.0,True,0,0,SubProblem5,SA-213T92/45x12.5,7,185220.0,188000.0,0.985212743,26,3,26.0
12.58,0,1046800,UNSOLVED,0,0.0,True,0,0,SubProblem0,SA-213T91Type1/38.1x6,8,1046800.0,1055100.0,0.992133439,126,4,126.0
29.97,39,4067196,RCG_TARGET_REACHED,4084240,0.9958268857853603,True,19,524,SubProblem3,SA-213S30432/38.1x7,19,4067196.0,4084240.0,0.9958269,343,6,343.0
13.22,0,1046800,UNSOLVED,0,0.0,True,0,0,SubProblem0,SA-213T91Type1/38.1x6,8,1046800.0,1055100.0,0.992133439,126,4,126.0
29.78,44,4067196,RCG_TARGET_REACHED,4084240,0.9958268857853603,True,19,531,SubProblem3,SA-213S30432/38.1x7,19,4067196.0,4084240.0,0.9958269,343,6,32611.0
0.61,0,185220,UNSOLVED,0,0.0,True,0,0,SubProblem5,SA-213T92/45x12.5,10,185220.0,188000.0,0.985212743,28,4,28.0
0.52,0,185220,UNSOLVED,0,0.0,True,0,0,SubProblem5,SA-213T92/45x12.5,7,185220.0,188000.0,0.985212743,22,3,22.0
0.19,0,209208,UNSOLVED,0,0.0,True,0,0,SubProblem0,SA-213T91Type1/57x7,6,209300.0,210500.0,0.994299293,31,3,31.0
10.67,11,668840,RCG_TARGET_REACHED,672100,0.995149531319744,True,8,51,SubProblem1,SA-213TP310HCbN/57x7,7,668932.0,672100.0,0.995286405,139,2,139.0
13.11,0,1412108,UNSOLVED,0,0.0,True,0,0,SubProblem2,SA-213TP310HCbN/57x8,6,1412108.0,1416500.0,0.996899426,162,2,162.0
6.81,11,1337680,RCG_TARGET_REACHED,1343500,0.9956680312616301,True,10,108,SubProblem6,SA-213TP310HCbN/51x6,5,1337864.0,1343500.0,0.995804965,139,3,139.0
25.47,8,802120,OPTIMAL_LEXICOGRAPHIC,809900,0.9903938757871342,True,5,59,SubProblem0,SA-213S30432/45x11.5,3,802120.0,803000.0,0.998904109,66,2,66.0
19.41,4,528528,OPTIMAL_LEXICOGRAPHIC,549000,0.9627103825136613,True,3,48,SubProblem1,SA-213S30432/45x8,3,528528.0,539000.0,0.980571449,66,2,66.0
0.09,4,144188,RCG_FEASIBLE,171100,0.8427118644067797,True,2,0,SubProblem2,SA-213T92/45x13.5,7,144210.0,145200.0,0.993181825,19,6,19.0
0.14,3,111320,RCG_FEASIBLE,112400,0.9903914590747331,True,2,0,SubProblem3,SA-213T92/45x9,8,111320.0,112600.0,0.988632321,7,5,7.0
0.03,1,9900,RCG_FEASIBLE,12000,0.825,True,1,0,SubProblem4,SA-213TP310HCbN/45x13.5,1,9966.0,12000.0,0.830500007,0,1,0.0
0.03,1,11324,RCG_FEASIBLE,12000,0.9436666666666667,True,1,0,SubProblem0,SA-213T91Type1/51x9,1,11362.0,12000.0,0.946833313,0,1,0.0
0.03,1,11324,RCG_FEASIBLE,12000,0.9436666666666667,True,1,0,SubProblem0,SA-213T91Type1/51x9,1,11324.0,12000.0,0.943666637,0,1,0.0
0.05,1,11324,RCG_FEASIBLE,12000,0.9436666666666667,True,1,0,SubProblem1,SA-213T92/51x13,1,11324.0,12000.0,0.943666637,0,1,0.0
0.06,2,39200,RCG_FEASIBLE,40000,0.98,True,1,0,SubProblem4,SA-213S30432/45x12,2,39200.0,43000.0,0.911627889,0,1,0.0
4.02,7,424384,RCG_FEASIBLE,429000,0.9892400932400932,True,5,38,SubProblem2,SA-213TP310HCbN/51x12,7,424384.0,429000.0,0.98924011,47,5,47.0
5.2,10,441484,RCG_TARGET_REACHED,444000,0.9943333333333333,True,9,31,SubProblem4,SA-213TP310HCbN/51x9,1,441484.0,456000.0,0.968166649,0,1,0.0
11.53,24,1389052,RCG_TARGET_REACHED,1392000,0.997882183908046,True,22,112,SubProblem7,SA-213TP310HCbN/45x12,4,1389052.0,1392000.0,0.997882187,114,2,114.0
0.05,2,11400,RCG_FEASIBLE,12090,0.9429280397022333,True,1,0,SubProblem0,12Cr1MoVG/51x9,2,11400.0,12090.0,0.942928016,0,1,0.0
27.11,0,1389052,UNSOLVED,0,0.0,True,0,0,SubProblem9,SA-213TP310HCbN/45x12,4,1389052.0,1389600.0,0.999605656,114,2,114.0
0.62,0,185220,UNSOLVED,0,0.0,True,0,0,SubProblem5,SA-213T92/45x12.5,7,185220.0,189300.0,0.978446901,0,2,0.0
0.05,2,11400,RCG_FEASIBLE,12100,0.9421487603305785,True,1,0,SubProblem1,SA-213T92/51x11.5,2,11400.0,12100.0,0.942148745,0,1,0.0
26.84,0,1389052,UNSOLVED,0,0.0,True,0,0,SubProblem9,SA-213TP310HCbN/45x12,4,1389052.0,1389600.0,0.999605656,114,2,114.0
15.2,0,1579028,UNSOLVED,0,0.0,True,0,0,SubProblem5,SA-213TP310HCbN/45x12,9,1579028.0,1583500.0,0.997175872,146,6,146.0
14.27,7,704704,RCG_TARGET_REACHED,706000,0.9981643059490085,True,4,88,SubProblem6,SA-213TP310HCbN/45x8,7,704704.0,717000.0,0.98285079,56,7,56.0
3.27,1,454632,RCG_TARGET_REACHED,456000,0.997,True,1,0,SubProblem2,SA-213TP310HCbN/51x9,1,454632.0,456000.0,0.996999979,0,1,0.0
29.61,9,507984,RCG_FEASIBLE,512400,0.9913817330210772,True,7,36,SubProblem5,SA-213TP310HCbN/45x10,3,507984.0,512400.0,0.991381705,38,2,38.0
4.75,1,909264,RCG_TARGET_REACHED,912000,0.997,True,1,0,SubProblem6,SA-213TP310HCbN/45x11,1,909264.0,912000.0,0.996999979,0,1,0.0
0.05,1,11400,RCG_FEASIBLE,12000,0.95,True,1,0,SubProblem0,12Cr1MoVG/51x7.5,1,11400.0,12000.0,0.949999988,0,1,0.0
0.05,1,11400,RCG_FEASIBLE,12000,0.95,True,1,0,SubProblem1,SA-213T92/51x11,1,11400.0,12000.0,0.949999988,0,1,0.0
