elapsed_s,ours_cut_pattern_types,ours_demand_length,ours_status,ours_used_length,ours_util_rate,ours_verified,ours_weld_pattern_types,ours_welding_joints,problem_no,spec,sw_cut_pattern_types,sw_demand_length,sw_used_length,sw_util_rate,sw_weld_joints_recomputed,sw_weld_pattern_types,sw_welding_joints
16.08,14,262600,RCG_TARGET_REACHED,263850,0.9952624597309078,True,12,22,SubProblem8,SA-213TP310HCbN/51x9.5,6,262600.0,263850.0,0.995262444,31,3,31.0
0.03,1,9950,RCG_TARGET_REACHED,10000,0.995,True,1,0,SubProblem0,SA-213T92/45x12,1,9950.0,10000.0,0.995000005,0,0,0.0
0.11,0,29224,UNSOLVED,0,0.0,True,0,0,SubProblem6,SA-213T92/51x13,0,,,,0,0,
7.14,7,80800,RCG_FEASIBLE,82000,0.9853658536585366,True,7,6,SubProblem0,SA-213S30432/45x9,4,80800.0,82000.0,0.985365868,0,0,14.0
0.23,5,298716,RCG_FEASIBLE,316500,0.9438104265402844,True,1,0,SubProblem0,SA-210C/57x4,4,298716.0,314600.0,0.949510515,0,0,0.0
11.5,19,379782,RCG_TARGET_REACHED,381300,0.9960188827694728,True,13,30,SubProblem0,SA-213S30432/45x12,4,379782.0,394100.0,0.963669121,26,2,26.0
0.25,5,298716,RCG_FEASIBLE,316500,0.9438104265402844,True,1,0,SubProblem0,SA-210C/57x4,4,298716.0,314600.0,0.949510515,0,0,0.0
29.98,29,883116,RCG_TARGET_REACHED,887600,0.9949481748535376,True,16,95,SubProblem4,SA-213TP310HCbN/45x12,8,883116.0,887600.0,0.994948149,78,4,78.0
19.98,20,525200,RCG_TARGET_REACHED,526800,0.996962794229309,True,18,42,SubProblem5,SA-213TP310HCbN/45x9,6,525200.0,526800.0,0.996962786,44,5,44.0
19.89,16,883116,RCG_TARGET_REACHED,887600,0.9949481748535376,True,10,90,SubProblem4,SA-213TP310HCbN/45x12,8,883116.0,887600.0,0.994948149,78,4,78.0
17.44,20,525200,RCG_TARGET_REACHED,526800,0.996962794229309,True,19,40,SubProblem5,SA-213TP310HCbN/45x9,6,525200.0,526800.0,0.996962786,44,5,44.0
12.14,0,450086,UNSOLVED,0,0.0,True,0,0,SubProblem7,SA-213TP310HCbN/51x13,8,450086.0,453120.0,0.993304193,44,3,44.0
18.25,14,262600,RCG_TARGET_REACHED,263850,0.9952624597309078,True,12,22,SubProblem8,SA-213TP310HCbN/51x9.5,6,262600.0,263850.0,0.995262444,31,3,31.0
0.05,1,9950,RCG_TARGET_REACHED,10000,0.995,True,1,0,SubProblem0,SA-213T92/45x12,1,9950.0,10000.0,0.995000005,0,1,0.0
19.2,16,883116,RCG_TARGET_REACHED,887600,0.9949481748535376,True,10,90,SubProblem4,SA-213TP310HCbN/45x12,8,883116.0,887600.0,0.994948149,78,4,78.0
16.67,20,525200,RCG_TARGET_REACHED,526800,0.996962794229309,True,19,40,SubProblem5,SA-213TP310HCbN/45x9,6,525200.0,526800.0,0.996962786,44,5,44.0
17.3,14,262600,RCG_TARGET_REACHED,263850,0.9952624597309078,True,12,22,SubProblem8,SA-213TP310HCbN/51x9.5,6,262600.0,263850.0,0.995262444,31,3,31.0
11.41,14,759564,RCG_TARGET_REACHED,765300,0.9925049000392003,True,10,60,SubProblem0,SA-213S30432/45x12,4,379782.0,394100.0,0.963669121,26,2,26.0
12.28,16,474700,RCG_TARGET_REACHED,478000,0.9930962343096235,True,13,35,SubProblem1,SA-213S30432/45x9,6,262600.0,274000.0,0.95839417,26,3,26.0
14.0,8,883116,RCG_TARGET_REACHED,887600,0.9949481748535376,True,6,68,SubProblem3,SA-213TP310HCbN/45x12,5,883116.0,887600.0,0.994948149,78,2,78.0
0.05,1,11324,RCG_FEASIBLE,12000,0.9436666666666667,True,1,0,SubProblem0,SA-213T91Type1/51x9,1,11324.0,12000.0,0.943666637,0,1,0.0
0.03,1,11324,RCG_FEASIBLE,12000,0.9436666666666667,True,1,0,SubProblem1,SA-213T92/51x13,1,11324.0,12000.0,0.943666637,0,1,0.0
0.05,1,7600,RCG_FEASIBLE,8500,0.8941176470588236,True,1,0,SubProblem3,SA-213TP310HCbN/54x14,1,7638.0,8500.0,0.89858824,0,1,0.0
21.88,17,447488,RCG_FEASIBLE,451500,0.9911140642303433,True,14,44,SubProblem1,SA-213TP310HCbN/54x12,6,447488.0,450500.0,0.993314087,36,3,36.0
8.94,14,312246,RCG_FEASIBLE,317150,0.9845372851962794,True,10,24,SubProblem2,SA-213TP310HCbN/54x13,6,312246.0,314000.0,0.994414032,76,2,76.0
8.52,14,312246,RCG_FEASIBLE,317150,0.9845372851962794,True,10,24,SubProblem2,SA-213TP310HCbN/54x13,6,312246.0,314000.0,0.994414032,56,2,56.0
0.03,1,7600,RCG_FEASIBLE,8500,0.8941176470588236,True,1,0,SubProblem3,SA-213TP310HCbN/54x14,1,7638.0,8500.0,0.89858824,0,1,0.0
3.5,12,1485686,RCG_TARGET_REACHED,1487000,0.9991163416274378,True,8,151,SubProblem11,SA-213TP310HCbN/45x10.5,5,1485686.0,1488000.0,0.998444915,152,2,152.0
0.03,1,7600,RCG_FEASIBLE,8500,0.8941176470588236,True,1,0,SubProblem3,SA-213TP310HCbN/54x14,1,7638.0,8500.0,0.89858824,0,1,0.0
3.25,12,1485686,RCG_TARGET_REACHED,1487000,0.9991163416274378,True,8,151,SubProblem11,SA-213TP310HCbN/45x10.5,8,1485686.0,1490000.0,0.997104704,138,4,138.0
0.05,4,22306,RCG_FEASIBLE,24350,0.9160574948665298,True,1,0,SubProblem0,SA-213T92/54x8.5,4,22306.0,24350.0,0.916057467,0,1,0.0
13.97,15,447488,RCG_FEASIBLE,453000,0.9878322295805739,True,12,47,SubProblem1,SA-213TP310HCbN/54x12,7,447488.0,450150.0,0.994086444,50,3,50.0
0.05,4,22306,RCG_FEASIBLE,24350,0.9160574948665298,True,1,0,SubProblem0,SA-213T92/54x8.5,4,22306.0,24350.0,0.916057467,0,1,0.0
0.73,0,98762,UNSOLVED,0,0.0,True,0,0,SubProblem10,SA-213T92/54x14,9,98762.0,100350.0,0.984175384,20,3,20.0
4.19,12,1485686,RCG_TARGET_REACHED,1487000,0.9991163416274378,True,8,151,SubProblem11,SA-213TP310HCbN/45x10.5,6,1485686.0,1490000.0,0.997104704,152,2,152.0
